"Timestamp","Action","Class","From","To","SHA256"
"20260122-071728","MOVE","technical","C:\unificard\docs\11_FASES\fase_5_event_creation\birthday\02_birthday_eventspec_v1.md","C:\unificard\docs\03_technical\02_birthday_eventspec_v1.md","8D36EB6075D7F2389D5F4984D1917EEC75DD50A73F3B53BA1F826AF3E098952A"
"20260122-071728","MOVE","technical","C:\unificard\docs\11_FASES\fase_5_event_creation\birthday\FASE_5_EVENTSPEC_IMMUTABILITY_AND_VERSIONING.md","C:\unificard\docs\03_technical\FASE_5_EVENTSPEC_IMMUTABILITY_AND_VERSIONING.md","B6A87C73F92D5145BC6DDDA46F80130E947A4899C2B00A0E3C35F71AFBA5FA79"
"20260122-071728","MOVE","normative","C:\unificard\docs\99_ARQUIVO_MORTO\verevent_domain_minimum_contract.md","C:\unificard\docs\01_normative\verevent_domain_minimum_contract.md","C6FEF185472F0373FAFB257A62D7AC6EAB5173741090DD75221024D4795092E6"
"20260122-071728","MOVE","normative","C:\unificard\docs\architecture\AI_CATEGORY_HIERARCHY_CANONICAL_FLOW.md","C:\unificard\docs\01_normative\AI_CATEGORY_HIERARCHY_CANONICAL_FLOW.md","45F582D140BC2033BF0E7E6227E1E5BC76EB8047997A1499A554228FC0E4D674"
"20260122-071728","MOVE","technical","C:\unificard\docs\architecture\AI_CATEGORY_HIERARCHY_DIAGNOSTIC.md","C:\unificard\docs\03_technical\AI_CATEGORY_HIERARCHY_DIAGNOSTIC.md","2C75B66789C9E2EEA7D744649E65B7E40F4D953BF634C807E3A8CAABDCC427CC"
"20260122-071728","MOVE","technical","C:\unificard\docs\architecture\ANALISE_ARQUITETURAL_VALIDACAO.md","C:\unificard\docs\03_technical\ANALISE_ARQUITETURAL_VALIDACAO.md","801386538EB3892116EF402C6BABA65A1DBFB4D931E9686A89958971D84574BC"
"20260122-071728","MOVE","technical","C:\unificard\docs\architecture\anti_patterns.md","C:\unificard\docs\03_technical\anti_patterns.md","4405EC091146F58FB80F4D6520C7870A2F8E070CB210D1D75C1070FAFEFD6898"
"20260122-071728","MOVE","technical","C:\unificard\docs\architecture\arquivos_criticos.md","C:\unificard\docs\03_technical\arquivos_criticos.md","82C2CFB5CE51E009F32729A4DCBE3040ED01A5998763E45CCD8944FD8092C023"
"20260122-071728","MOVE","normative","C:\unificard\docs\architecture\CONTRACTS.md","C:\unificard\docs\01_normative\CONTRACTS.md","2A8D00689713CD5F02C055401C8F3106D1DB369CE5C0B01E322DC5D1BAE14D2E"
"20260122-071728","MOVE","technical","C:\unificard\docs\architecture\CORRECAO_CODIGO_INDICACAO.md","C:\unificard\docs\03_technical\CORRECAO_CODIGO_INDICACAO.md","50423A43DDB2E1AAEBB3BF742D956E2915B8A6BF8CD4950143FE01B1C9A13677"
"20260122-071728","MOVE","technical","C:\unificard\docs\architecture\CORRECAO_TENANT_MISMATCH.md","C:\unificard\docs\03_technical\CORRECAO_TENANT_MISMATCH.md","D0D81719AC74D0B0AE907727A3AE9CFA9C003491782B1C5B55F60C7CC44B2EB1"
"20260122-071728","MOVE","technical","C:\unificard\docs\architecture\engineering_readme.md","C:\unificard\docs\03_technical\engineering_readme.md","814D27C3C88DDFFA4E3CA742E66E97BA05FC4F634D33E98CAADE96CF74240631"
