"FileName","FullPath","SHA256","SizeKB","Reasons"
"CHECKLIST_PR_FRONTEND_CANONICO.md","C:\unificard\docs\01_normative\CHECKLIST_PR_FRONTEND_CANONICO.md","8BD7D2455E8B6DBF86A4D94B2EA8FF5A781CB8720E0134C9EE51F9925E23332F","2,61","operational-doc"
"GOLDEN_PATH_VISUAL_CANONICO.md","C:\unificard\docs\01_normative\GOLDEN_PATH_VISUAL_CANONICO.md","6194FCB5AB69BAE3F378A66A195C6D47AFC5DECF75909516F12274DC51322A87","11,54","discard-token"
"SPRINT_78_GOVERNANCA_ORGANIZACIONAL.md","C:\unificard\docs\01_normative\SPRINT_78_GOVERNANCA_ORGANIZACIONAL.md","9B73EAC2B9589D98C7466BE07425BAAD7CF95EE1591F689DF971B65BB86D9FA7","10,47","operational-doc"
"SPRINT_88_CRM_CANONICO.md","C:\unificard\docs\01_normative\SPRINT_88_CRM_CANONICO.md","1F5ADEC32A6648E4EE3D3100D0B94556E12CD73C06BAC82B69C757D9B641F95C","10,34","operational-doc"
"CATEGORY_HARDENING_CHECKLIST.md","C:\unificard\docs\02_decisions\CATEGORY_HARDENING_CHECKLIST.md","35F88B2181B3710DA94356FE629C1C4FD691EE515E4037ECE83385959267E430","11,27","operational-doc"
"category-input-gate-complete.md","C:\unificard\docs\02_decisions\category-input-gate-complete.md","BA3CE1A6FE19150C182BED12041264337FA0D5461F65C3A9ECB52845AFC631FB","4,49","operational-doc"
"category-input-gate.md","C:\unificard\docs\02_decisions\category-input-gate.md","DAAAD16CC10FE5E54E5F3E01F066C54E4357B512C06FB06963A223D972BBC1B4","4","operational-doc"
"CHECKLIST_ATIVACAO_PILOTO_INTERNO.md","C:\unificard\docs\02_decisions\CHECKLIST_ATIVACAO_PILOTO_INTERNO.md","9C5B3C025C90916363B2BE8DB261F399C8BAA2EA0CE894B8D68BE60D0AAECDA8","19,27","operational-doc"
"CHECKLIST_CI_REGRESSAO_TEMPORAL.md","C:\unificard\docs\02_decisions\CHECKLIST_CI_REGRESSAO_TEMPORAL.md","D5C28D4DAA180049B37D65D25B56A1AB85C43D568DECE5D1C735CB9465B3B849","8,17","operational-doc"
"CHECKLIST_CORRECOES_CRITICAS.md","C:\unificard\docs\02_decisions\CHECKLIST_CORRECOES_CRITICAS.md","96DA9C6C428E1C1387F04227D6D5FD52B9F6A4A69A59214E5438F0D6ED1974C8","3,46","operational-doc"
"CHECKLIST_CURSOR_EVENTOS.md","C:\unificard\docs\02_decisions\CHECKLIST_CURSOR_EVENTOS.md","73A63E86B6E04E0F03DFA9752FF9E807BE2CBF343D44366123507C4BFC86B7B1","7,05","operational-doc"
"CHECKLIST_CURSOR_UNIFICARD.md","C:\unificard\docs\02_decisions\CHECKLIST_CURSOR_UNIFICARD.md","C9C396BA6646EC326B61F10BA61ABB31D5C48C779811646ED191912552C581D6","9,84","operational-doc"
"CHECKLIST_EMPRESAS_CURSOR.md","C:\unificard\docs\02_decisions\CHECKLIST_EMPRESAS_CURSOR.md","BC5271FC791C9FAA92663AB811DA98A4B6EE5DA9F5B93FF51789800B8124D44E","3,84","operational-doc"
"CHECKLIST_FASE_10_V2 (1).md","C:\unificard\docs\02_decisions\CHECKLIST_FASE_10_V2 (1).md","CDCB21AED3564FD5D6A952FE9485477A5173250B3AD9DD8381B2A3DA1811E5A7","45,68","operational-doc"
"CHECKLIST_FASE_10_V2.md","C:\unificard\docs\02_decisions\CHECKLIST_FASE_10_V2.md","9B4632275EC41CC3E9889CAFB083F1A43F41C9EBA68E12CE9A67D0D5A0189134","36,77","operational-doc"
"CHECKLIST_IMPLEMENTACAO_EVENTOS.md","C:\unificard\docs\02_decisions\CHECKLIST_IMPLEMENTACAO_EVENTOS.md","FD230C1C1F30710F7A2CAD177BF6F09393F9196140E54535A86C24E92EA6B2AE","30,76","operational-doc"
"CHECKLIST_IMPLEMENTACAO.md","C:\unificard\docs\02_decisions\CHECKLIST_IMPLEMENTACAO.md","DA9C40F7EE8515EC86E6DABF11BC689D445977E527AA2E90082EEA0F549CAE8F","2,69","operational-doc"
"CHECKLIST_MIGRATION_098_GRUPOS.md","C:\unificard\docs\02_decisions\CHECKLIST_MIGRATION_098_GRUPOS.md","CBA5B9B56989ED0DEBC3C66CCCA368BBD85FBA733AB5697641800E58C34566C1","5,49","operational-doc"
"CHECKLIST_PRE_FRONTEND_OBRIGATORIO.md","C:\unificard\docs\02_decisions\CHECKLIST_PRE_FRONTEND_OBRIGATORIO.md","C4A1A60D67B933149531A0EEDCCBF6C74C14B3C4F1F81BF538A99C73A735E29C","5,91","operational-doc"
"CHECKLIST_TECNICO_IMPLEMENTACAO_EVENTOS.md","C:\unificard\docs\02_decisions\CHECKLIST_TECNICO_IMPLEMENTACAO_EVENTOS.md","5C5140A503BC4C92ECA1C1C3E218F6AF451FD17871FD6B0094F7D01963181096","4,62","operational-doc"
"FASE_5_CHECKLIST_PR.md","C:\unificard\docs\02_decisions\FASE_5_CHECKLIST_PR.md","DCD485EE021D769799849AEF63EC12B441215CA2E1B1F29461B639B14A41F2F8","1,5","operational-doc"
